,Price,Area,Num_Rooms,Num_Halls,Location_Encoded,Floor_Encoded
1134,18500,100,3.0,1.0,18485.221674876848,0.0
1135,36000,190,4.0,1.0,36000.0,21.0
1136,13500,115,3.0,1.0,13661.904761904761,33.0
1137,24000,125,3.0,1.0,23984.615384615383,0.0
1138,33000,135,3.0,1.0,33000.0,18.0
1139,15000,100,3.0,1.0,17895.505617977527,27.0
1140,44000,150,3.0,1.0,44000.0,10.0
1141,49500,150,3.0,1.0,33058.29596412556,11.0
1142,39000,200,4.0,1.0,38472.906403940884,22.0
1143,36000,140,4.0,1.0,33058.29596412556,0.0
1144,35000,120,3.0,1.0,33058.29596412556,11.0
1145,25000,70,2.0,1.0,24990.04975124378,39.0
1146,40000,115,2.0,1.0,36896.33375474084,18.0
1147,28000,120,3.0,1.0,36896.33375474084,11.0
1148,26000,75,2.0,1.0,33058.29596412556,34.0
1149,26000,65,1.0,1.0,33058.29596412556,39.0
1150,24500,55,1.0,1.0,33058.29596412556,33.0
1151,22000,75,2.0,1.0,33058.29596412556,0.0
1152,20000,125,3.0,1.0,17895.505617977527,0.0
1153,30000,95,2.0,1.0,26196.83908045977,39.0
1154,17500,120,3.0,1.0,17511.95219123506,18.0
1155,24000,120,3.0,1.0,24028.34008097166,11.0
1156,17500,115,3.0,1.0,17669.88416988417,18.0
1157,48000,133,3.0,1.0,36896.33375474084,0.0
1158,18500,100,3.0,1.0,18485.221674876848,0.0
1159,36000,190,4.0,1.0,36000.0,21.0
1160,13500,115,3.0,1.0,13661.904761904761,33.0
1161,24000,125,3.0,1.0,23984.615384615383,0.0
1162,33000,135,3.0,1.0,33000.0,18.0
1163,15000,100,3.0,1.0,17895.505617977527,27.0
